,NTACode,NTAName,NTA Latitude,NTA Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
181,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Waza,40.693487522158414,-73.965735666986,Japanese Restaurant
182,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Gino's Pizzeria,40.694236755371094,-73.96074676513672,Pizza Place
183,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Dunkin',40.693831942589206,-73.96434542270185,Donut Shop
184,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Nice Pizza,40.68750583549929,-73.95697425901116,Pizza Place
185,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Bamboo Lounge & Grill,40.69379796971182,-73.96359168868622,Lounge
186,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Borough Restaurant,40.687538558079865,-73.95699710010258,Diner
187,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,The Emerson,40.69395721469648,-73.9617884426406,Bar
188,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Nathan's Famous,40.69396302095011,-73.961092497242,Hot Dog Joint
189,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Los Pollitos III,40.693588760795954,-73.96506751389639,Mexican Restaurant
190,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Farmer In The Deli,40.69380999487714,-73.96307836339733,Deli / Bodega
191,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Calyer Cafe & Kitchen,40.693436,-73.964247,Café
192,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Khim's Millennium Market,40.693776788553926,-73.96320922605318,Supermarket
193,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Family Dollar,40.688654443214965,-73.95719186533118,Discount Store
194,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,New Grace Chinese Kitchen,40.69385265722627,-73.96254771400643,Chinese Restaurant
195,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Utrecht,40.69363354001652,-73.96364696687941,Arts & Crafts Store
196,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Randy Deli & Grocery,40.69250310829687,-73.95984982669714,Deli / Bodega
197,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Pratt Deli & Grocery,40.69240028107106,-73.95908355708423,Grocery Store
198,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Star Spangled Banner Playground,40.6916731259561,-73.95781504409862,Park
199,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Sam's Pizza,40.69059054374373,-73.9571951342679,Pizza Place
200,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Clinton Hill Simply Art And Framing,40.694038,-73.960938,Furniture / Home Store
201,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Wicked Good Franks,40.694074586413926,-73.96112434625087,Hot Dog Joint
202,QN33,Cambria Heights,40.69474019461525,-73.73647171895738,Johnny's Discount Liquors,40.69458018526394,-73.73857550206552,Liquor Store
203,QN33,Cambria Heights,40.69474019461525,-73.73647171895738,Rite Aid,40.694289,-73.738265,Pharmacy
204,QN33,Cambria Heights,40.69474019461525,-73.73647171895738,Good Taste Catering,40.69260462684047,-73.73229185680296,Caribbean Restaurant
205,QN33,Cambria Heights,40.69474019461525,-73.73647171895738,Brasserie Creole,40.69305616417647,-73.73389014680978,Nightclub
206,QN33,Cambria Heights,40.69474019461525,-73.73647171895738,Epi Dor Kreyol Restaurant And Bakery,40.69393616230529,-73.73704321622488,Caribbean Restaurant
207,QN33,Cambria Heights,40.69474019461525,-73.73647171895738,Flowers By Marilyn,40.69423485611644,-73.73753165362618,Flower Shop
208,QN33,Cambria Heights,40.69474019461525,-73.73647171895738,Yani's Dominican Beauty Salon,40.69315981942396,-73.7337381355295,Cosmetics Shop
209,QN33,Cambria Heights,40.69474019461525,-73.73647171895738,Farmbria Food Center,40.6956654751084,-73.74199876793486,Supermarket
210,QN33,Cambria Heights,40.69474019461525,-73.73647171895738,T & G Flavors,40.69308999999999,-73.7327789,Caribbean Restaurant
